model,record_type,term,value,condition_number,bp_pvalue,n_cooks_over_4n,max_cooks_distance,max_leverage,max_abs_studentized_residual
Model A,category_count,famsize=GT3,281.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,famsize=LE3,114.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,Pstatus=T,354.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,Pstatus=A,41.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,Mjob=other,141.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,Mjob=services,103.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,Mjob=at_home,59.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,Mjob=teacher,58.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,Mjob=health,34.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,Fjob=other,217.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,Fjob=services,111.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,Fjob=teacher,29.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,Fjob=at_home,20.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,Fjob=health,18.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,reason=course,145.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,reason=home,109.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,reason=reputation,105.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,reason=other,36.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,guardian=mother,273.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,guardian=father,90.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,guardian=other,32.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,schoolsup=no,344.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,schoolsup=yes,51.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,famsup=yes,242.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,famsup=no,153.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,paid=no,214.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,paid=yes,181.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,activities=yes,201.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,activities=no,194.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,nursery=yes,314.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,nursery=no,81.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,higher=yes,375.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,higher=no,20.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,internet=yes,329.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,internet=no,66.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,romantic=no,263.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,category_count,romantic=yes,132.0,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model B,vif,C(school)[T.MS],1.5109670310170185,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,C(sex)[T.M],1.4869684688810547,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,C(address)[T.U],1.3879854011798802,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,C(famsize)[T.LE3],1.1532760475716888,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,C(Pstatus)[T.T],1.1454924586436015,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
